-sort,5.342526,1.213338,3.72618,1.926384,1.252412,2.015851,2.055294,1.887993,1.930254,1.229927,1.969308,2.023347,2.037856,2.129538,3.251161,2.711,2.043968,1.7032,1.045526,4.512152,1.474052,1.899522,1.451227,1.244131,1.2568,1.290241,1.369493,1.191415,2.027873,1.870566,5.357602,1.362802,3.405516,2.212634,4.178583,1.772409,2.351408,1.591614,1.910202,1.576516,1.204903,1.863553,1.590237,4.494594,1.255716,1.469171,1.293802,1.456345,1.291444,5.92844,3.052661,1.394371,1.433695,1.723371,1.490924,1.763838,1.443959,1.73489,1.987411,2.335071,2.004575,1.862097,1.914734,1.338473,1.721372,1.262305,2.272022,1.716933,2.301973,1.304289,1.217464,1.851567,1.474865,1.154315,1.368393,2.461825,1.340326,1.629656,1.784699,2.011291,2.322106,2.231046,1.988337,4.71236,2.20825,1.543817,2.00303,2.066574,1.999846,2.246903,1.910066,1.990511,2.044787,1.906326,1.76906,2.003109,1.881744,1.867113,1.974883,1.841588
-deepsort,9.850459,6.629969,5.208398,5.332271,8.048879,5.366492,8.779,6.614263,13.049014,6.990104,6.880824,14.557872,8.464359,8.085474,3.684698,8.528069,9.43267,9.070074,8.03518,5.775351,4.587785,5.819219,8.245465,4.880638,5.667213,5.007275,7.011277,4.022904,8.490858,6.694622,6.980522,10.48624,9.619677,9.929235,10.120435,12.290909,6.474763,10.437708,9.618901,7.1481,8.834494,12.165965,8.611326,7.126339,6.799371,6.068063,5.943123,5.988668,7.526816,6.606218,5.550237,7.917026,6.129425,6.174816,5.401607,4.903309,8.74017,7.121043,12.266371,6.903706,7.301381,6.721925,7.854002,7.25788,7.384237,6.094264,6.135919,6.618942,6.10948,6.584429,5.335274,9.799134,5.332569,12.18106,5.671353,4.674374,10.025683,8.682116,10.179497,7.375526,6.243042,7.41774,8.593683,10.282869,8.20572,9.18033,6.01262,6.594863,12.282941,6.410107,7.982631,9.273953,8.487958,5.253474,4.224515,5.590348,4.523724,5.174628,7.538733,4.506669
-motiontrack,1.189672,1.23929,1.396123,1.360701,1.237215,1.260374,1.220435,1.262945,1.255466,1.348163,1.369184,1.161894,1.324129,1.189793,1.29925,1.396848,1.246594,1.303638,1.338133,1.246695,1.366904,1.300613,1.206714,1.256829,1.273234,1.235057,1.379689,1.377841,1.37196,1.323623,1.352727,1.391707,1.367225,1.386136,1.556047,1.435067,1.221345,1.347985,1.395437,1.228402,1.232068,1.385856,1.659996,1.618136,1.359323,1.466976,1.427567,1.382816,1.464602,1.562967,1.389565,1.360373,1.361538,1.363325,1.372713,1.418938,1.433378,1.443928,1.371351,1.279626,1.349689,1.424321,1.397109,1.42405,1.411642,1.608712,1.372873,1.418102,1.357456,1.414628,1.422978,1.210817,1.376396,1.390433,1.210748,1.178442,1.177426,1.27705,1.175651,1.320768,1.439364,1.227882,1.296059,1.238283,1.298294,1.24961,1.216513,1.219232,1.434431,1.334128,1.228665,1.31048,1.232845,1.205892,1.211217,1.285608,1.419555,1.317281,1.273203,1.247929
-sparsetrack,1.957732,1.656313,1.869844,1.68123,1.706507,1.824643,1.809927,1.531133,1.691305,1.521043,1.623043,1.912281,1.683154,1.648978,1.848625,1.784784,1.669313,1.776176,1.677319,1.646408,1.833584,1.546173,1.599932,1.743227,1.664557,1.63322,1.581725,1.722487,1.837319,1.746053,1.656593,1.630243,1.580366,1.631841,1.625339,1.82371,1.613505,1.555867,1.553386,1.616256,1.584817,1.879631,1.742704,1.682892,1.708778,1.671361,1.886586,1.688832,1.695814,1.547408,1.610843,1.882881,1.973023,1.762075,1.689578,1.677176,1.683465,1.878452,1.713028,1.589328,1.738355,1.705961,1.710931,1.739214,1.690836,1.776293,1.555935,1.787641,1.816502,1.5958,1.771057,1.716538,1.725131,1.851008,1.845861,1.595795,1.644802,1.60199,1.752019,1.674247,1.858311,1.71251,1.605394,1.603247,1.677249,1.610491,1.792424,1.750435,1.615833,1.60887,1.639238,2.004084,1.754781,1.813562,1.605797,1.687285,1.729314,1.824293,1.71818,1.880772
